ID,Event,Type,Date,Image,Description
39,National Selfie Day,activity,2023-06-21,selfie.png,"National Selfie Day embraces the cultural phenomenon of taking selfies. People often capture and share creative self-portraits, expressing themselves through photography."
40,National Kissing Day,activity,2023-06-24,kissing.png,"National Kissing Day celebrates the act of kissing and the expression of affection. Couples often take the opportunity to share kisses, and the day promotes the importance of intimacy in relationships."
41,International Day of the Seafarer,activity,2023-06-25,seafarer.png,International Day of the Seafarer honors the contributions of seafarers to the global economy and trade. It's a day to recognize the challenges they face and express appreciation for their vital role.
42,Hug Holiday,activity,2023-06-29,hugging_day.png,"Hug Holiday encourages people to spread warmth and connection through hugs. Individuals often exchange hugs with friends, family, and even strangers, promoting a sense of unity and compassion."
43,International Joke Day,activity,2023-07-01,joke_day.png,"International Joke Day celebrates humor and laughter. People often share jokes, engage in playful pranks, and enjoy comedic performances to bring joy and laughter to the day."
44,World UFO Day,activity,2023-07-02,ufo_day.png,World UFO Day raises awareness about unidentified flying objects and encourages discussions about extraterrestrial phenomena. UFO enthusiasts often gather to share stories and theories about extraterrestrial life.
45,National Bikini Day,activity,2023-07-05,bikini.png,"National Bikini Day celebrates the iconic two-piece swimsuit and the freedom of summer. Many people enjoy beach outings and pool parties, embracing the summer vibes in their bikinis."
46,International Kissing Day,activity,2023-07-06,kissing.png,International Kissing Day is a day to celebrate the act of kissing and its expression of love and affection. Couples often take the opportunity to share kisses and express their feelings for each other.
47,National Simplicity Day,activity,2023-07-12,simplicity.png,National Simplicity Day encourages people to embrace simplicity and declutter their lives. It's a day to appreciate the beauty in simplicity and focus on what truly matters.
48,Pandemonium Day,activity,2023-07-14,pandemonium.png,"Pandemonium Day embraces chaos and unpredictability. It's a lighthearted day to go with the flow, enjoy spontaneity, and find humor in the unexpected twists and turns of life."
49,National Give Something Away Day,activity,2023-07-15,give.png,"National Give Something Away Day promotes generosity and the joy of giving. People often participate by donating items, volunteering, or performing acts of kindness to make a positive impact on others."
50,World Listening Day,activity,2023-07-18,listening.png,World Listening Day encourages people to appreciate the sounds of the environment. It's a day to connect with nature and each other through mindful listening.
51,National Moon Day,activity,2023-07-20,moon.png,National Moon Day commemorates the day humans first walked on the moon. It's a celebration of space exploration and the achievements of space missions.
52,National Hammock Day,activity,2023-07-22,hammock.png,National Hammock Day encourages relaxation and leisure in the comfort of a hammock. Many people take this day to unwind and enjoy the simple pleasure of swaying in a hammock.
53,National Dance Day,activity,2023-07-30,dance_day.png,National Dance Day promotes the joy of dance and its benefits for physical and mental well-being. People often participate in dance events and share their love for dance on this day.
54,National Coloring Book Day,activity,2023-08-02,colouring_book.png,"National Coloring Book Day celebrates the creativity and therapeutic benefits of coloring. Many individuals, both children and adults, spend the day coloring in coloring books or creating their own art."
55,National Book Lovers Day,activity,2023-08-09,book_lovers.png,"National Book Lovers Day is a celebration of reading and literature. Book enthusiasts often spend the day immersed in their favorite books, discovering new stories, and sharing their love of reading."
56,National Relaxation Day,activity,2023-08-15,relax.png,"National Relaxation Day encourages people to take a break and prioritize relaxation. It's a day to unwind, de-stress, and engage in activities that bring a sense of calm."
57,National Tell A Joke Day,activity,2023-08-16,joke_day.png,National Tell A Joke Day is all about spreading laughter and joy. People often share jokes and humorous anecdotes to bring smiles to those around them.
58,National Tooth Fairy Day,activity,2023-08-22,tooth_fairy.png,National Tooth Fairy Day celebrates the mythical Tooth Fairy who rewards children for lost teeth. It's a whimsical day that adds a touch of magic to childhood memories.
59,National Beach Day,activity,2023-08-30,beach.png,"National Beach Day is a celebration of coastal beauty and the joys of the beach. Many people spend the day enjoying the sun, sand, and surf with family and friends."
60,College Colors Day,activity,2023-09-01,college_colors.png,College Colors Day encourages people to wear the colors of their favorite college or university. It's a day to show school spirit and pride.
61,American Chess Day,activity,2023-09-01,chess.png,"American Chess Day celebrates the strategic and intellectual game of chess. Chess enthusiasts often come together to play, compete, and share their love for the game."
62,National Read a Book Day,activity,2023-09-06,read_a_book.png,National Read a Book Day encourages individuals to indulge in the pleasure of reading. It's a day to explore new literary adventures and immerse oneself in the world of books.
63,International Sudoku Day,activity,2023-09-09,sudoku.png,International Sudoku Day celebrates the popular number puzzle game. Sudoku enthusiasts often challenge themselves and others to solve puzzles on this day.
64,National Make Your Bed Day,activity,2023-09-11,make_bed.png,National Make Your Bed Day promotes the habit of making the bed for a sense of accomplishment and tidiness. It's a simple but meaningful daily task.
65,National Coloring Day,activity,2023-09-14,colouring_book.png,National Coloring Day encourages people to embrace the art of coloring for relaxation and creativity. Coloring enthusiasts often use this day to express themselves through vibrant colors.
66,International Dot Day,activity,2023-09-15,dots.png,"International Dot Day celebrates creativity, inspired by the book ""The Dot"" by Peter H. Reynolds. People worldwide make their mark by creating and sharing dot-themed art."
67,International Talk Like a Pirate Day,activity,2023-09-19,pirate.png,International Talk Like a Pirate Day is a playful day to embrace pirate language and culture. People often have fun by using pirate phrases and dressing up as pirates.
68,National Cooking Day,activity,2023-09-25,cooking.png,National Cooking Day celebrates the joy of cooking and preparing meals. It's a day for culinary enthusiasts to explore new recipes and savor the art of cooking.
69,World Tourism Day,activity,2023-09-27,tourist.png,World Tourism Day promotes the value of tourism and its positive impact on cultural exchange and global understanding. Communities often celebrate by showcasing local attractions and hospitality.
70,World Smile Day,activity,2023-10-07,smile_day.png,"World Smile Day encourages acts of kindness to bring smiles to others. People often engage in charitable acts and share joy through smiles, promoting happiness and positivity."
71,National Checklist Day,activity,2023-10-30,checklist.png,National Checklist Day emphasizes the importance of organization and planning. Many individuals use this day to create and follow checklists to enhance productivity.
72,Halloween,activity,2023-10-31,halloween.png,"Halloween is a festive celebration marked by costumes, trick-or-treating, and spooky decorations. It's a time for fun and creativity as people embrace the spirit of the season."
73,National Crossword Puzzle Day,activity,2023-12-21,crossword.png,National Crossword Puzzle Day celebrates the popular word game. Puzzle enthusiasts often dedicate time to solving crosswords and enjoying the mental challenge.
74,Festivus,activity,2023-12-23,festivus.png,"Festivus is a humorous and non-traditional holiday celebrated with unique rituals, including the ""Airing of Grievances"" and the ""Feats of Strength."" It gained popularity through the TV show ""Seinfeld."""
75,National Thank You Note Day,activity,2023-12-26,thankyou_note.png,National Thank You Note Day encourages expressing gratitude through handwritten notes. It's a day to appreciate and acknowledge the kindness of others.
76,Community Manager Appreciation Day,career,2023-01-23,community_manager.png,Community Manager Appreciation Day recognizes the contributions of community managers in fostering online communities. It's a day to show appreciation for their efforts in building and maintaining positive digital spaces.
77,National Weatherperson's Day,career,2023-02-05,weatherman.png,National Weatherperson's Day honors meteorologists and weather forecasters. It's a day to recognize their vital role in providing weather information and keeping communities informed.
78,National Inventors' Day,career,2023-02-11,inventor.png,National Inventors' Day celebrates the contributions of inventors and their impact on innovation. Many events highlight inventions that have shaped history and technology.
79,National Dentist's Day,career,2023-03-06,dentist.png,National Dentist's Day recognizes the work of dentists and oral health professionals. It's a day to promote dental care and express gratitude for their contributions to overall well-being.
80,National Mom and Pop Business Owners Day,career,2023-03-29,mom_pop_business.png,"National Mom and Pop Business Owners Day celebrates small, independent businesses and their role in local communities. It's an opportunity to support and appreciate the diversity of small businesses."
81,National Doctors' Day,career,2023-03-30,doctors.png,National Doctors' Day honors physicians and their dedication to healthcare. Many communities express gratitude to doctors for their commitment to improving and saving lives.
82,National Hug a Newsperson Day,career,2023-04-04,hugging_day.png,"National Hug a Newsperson Day encourages showing appreciation to journalists and media professionals. While physical hugs may not always be practical, expressing gratitude for their work is the focus."
83,National Teacher's Day,career,2023-05-02,teachers.png,National Teacher's Day acknowledges and appreciates the contributions of teachers to education. Students and communities often express gratitude and recognition for the impact of teachers.
84,National Nurses Day,career,2023-05-06,nurse.png,National Nurses Day recognizes the vital role of nurses in healthcare. It's a day to appreciate and honor the dedication of nurses to the well-being of individuals and communities.
85,National Receptionists Day,career,2023-05-10,receptionist.png,National Receptionists Day celebrates the contributions of receptionists and front desk professionals. It's a day to recognize their role in creating positive first impressions and providing essential support.
86,National Be a Millionaire Day,career,2023-05-20,millionaire.png,National Be a Millionaire Day is a lighthearted day to dream big and imagine what life would be like as a millionaire. It's a day for fun and playful reflections on wealth and prosperity.
87,National Waiters and Waitresses Day,career,2023-05-21,waiter.png,National Waiters and Waitresses Day recognizes the hard work and contributions of hospitality professionals. It's a day to show appreciation for the service provided by waitstaff in restaurants.
88,National Maritime Day,career,2023-05-23,seafarer.png,National Maritime Day honors the maritime industry and its impact on global trade. It's a day to appreciate the contributions of those involved in shipping and maritime activities.
89,National Farmers Day,career,2023-10-12,farmer.png,National Farmers Day celebrates the hard work and dedication of farmers in providing food and resources. It's a day to recognize the vital role of agriculture in sustaining communities.
90,National Author's Day,career,2023-11-01,author.png,National Author's Day honors authors and their contributions to literature. It's a day to celebrate the written word and express appreciation for the creativity of authors.
91,National Entrepreneur's Day,career,2023-11-15,inventor.png,National Entrepreneur's Day recognizes the spirit and contributions of entrepreneurs to innovation and economic growth. It's a day to celebrate the achievements and resilience of those who pursue entrepreneurial ventures.
92,International Ninja Day,career,2023-12-05,ninja.png,"International Ninja Day is a fun and playful day to celebrate the mystique and legend of ninjas. It often involves dressing up, practicing ninja skills, and enjoying the lighthearted side of ninja culture."
93,National Freedom Day,cause,2023-02-01,freedom.png,"National Freedom Day commemorates the signing of the 13th Amendment, which abolished slavery. It's a day to reflect on the importance of freedom and advocate for the rights of all individuals."
94,International Polar Bear Day,cause,2023-02-27,polar_bear.png,International Polar Bear Day raises awareness about the conservation of polar bears and their Arctic habitat. It's a day to focus on the impact of climate change on these iconic animals.
95,National Day of Unplugging,cause,2023-03-03,unplug.png,"National Day of Unplugging encourages people to take a break from screens and technology. It's a day to connect with others, nature, and oneself without the distractions of electronic devices."
96,National Hug a G.I. Day,cause,2023-03-04,general_infantryman.png,"National Hug a G.I. Day encourages showing appreciation and support for members of the military. While physical hugs may not always be possible, expressing gratitude and sending messages of thanks are common ways to observe the day."
97,National Be Heard Day,cause,2023-03-07,listening.png,National Be Heard Day promotes empowering small businesses and entrepreneurs to have their voices heard. It's a day to advocate for the visibility and success of small enterprises.
98,International Women's Day,cause,2023-03-08,women.png,"International Women's Day celebrates the achievements and contributions of women worldwide. It's a day to promote gender equality, raise awareness of women's issues, and support women's rights."
99,Red Nose Day,cause,2023-03-24,red_nose.png,"Red Nose Day is a fundraising campaign that aims to end child poverty. People often participate by wearing red noses, organizing events, and donating to support children in need."
100,National Day of Silence,cause,2023-04-21,silence.png,National Day of Silence is a day of action to raise awareness about the silencing effects of bullying and discrimination against the LGBTQ+ community. Participants often take a vow of silence to honor those who face discrimination and harassment.
101,National No Dirty Dishes Day,cause,2023-05-18,clean_dishes.png,National No Dirty Dishes Day encourages taking a break from kitchen chores and enjoying a day without washing dishes. It's a lighthearted day to indulge in easy-to-make meals and minimize post-meal cleanup.
102,National Sunscreen Day,cause,2023-05-27,sunscreen.png,National Sunscreen Day promotes sun safety and the importance of protecting the skin from harmful UV rays. Individuals often raise awareness about skin health and share tips for proper sunscreen use.
103,World Oceans Day,cause,2023-06-08,oceans.png,World Oceans Day is dedicated to raising awareness about the importance of preserving the world's oceans and marine life. People worldwide participate in activities to promote ocean conservation and sustainability.
104,National Loving Day,cause,2023-06-12,loving.png,"National Loving Day celebrates the Supreme Court's decision in Loving v. Virginia, which struck down laws banning interracial marriage. It's a day to honor love, diversity, and the pursuit of equality."
105,World Elder Abuse Awareness Day,cause,2023-06-15,elder_abuse.png,World Elder Abuse Awareness Day aims to raise awareness about the mistreatment of elderly individuals and promote their rights. Communities often organize events to educate and advocate for the prevention of elder abuse.
106,World Refugee Day,cause,2023-06-20,refugee.png,World Refugee Day honors the strength and resilience of refugees worldwide. It's a day to raise awareness about the challenges faced by refugees and show support for their rights and well-being.
107,International Asteroid Day,cause,2023-06-30,asteroid.png,International Asteroid Day raises awareness about asteroids and the potential impact they may have on Earth. It's a day for educational events and discussions about asteroid research and planetary defense.
108,World Population Day,cause,2023-07-11,world_population.png,"World Population Day focuses on the importance of population issues, including family planning and sustainable development. The day often involves educational initiatives to promote awareness and action."
109,International Youth Day,cause,2023-08-12,youth.png,International Youth Day celebrates the contributions and potential of young people worldwide. It's a day to recognize youth-led initiatives and promote the empowerment of young individuals.
110,World Humanitarian Day,cause,2023-08-19,humanatarian.png,World Humanitarian Day honors humanitarian workers and their efforts to assist those in need. It's a day to raise awareness about humanitarian crises and advocate for the safety of aid workers.
111,National Senior Citizens Day,cause,2023-08-21,elder_abuse.png,National Senior Citizens Day honors the contributions and achievements of older adults. It's a day to recognize the wisdom and experience of senior citizens and promote their well-being.
112,International Day of Charity,cause,2023-09-05,charity.png,International Day of Charity encourages acts of kindness and charitable activities worldwide. It's a day to promote the spirit of giving and support philanthropic efforts.
113,International Literacy Day,cause,2023-09-08,literacy.png,International Literacy Day focuses on promoting literacy and education worldwide. It's a day to raise awareness about the importance of literacy and advocate for accessible education for all.
114,National Day of Service and Remembrance,cause,2023-09-11,service_day.png,National Day of Service and Remembrance honors the victims and heroes of the September 11 attacks. Many people participate in volunteer activities to commemorate the day and promote unity and service.
115,International Day of Peace,cause,2023-09-21,international_peace.png,"International Day of Peace promotes peace and unity globally. Events often include discussions, activities, and initiatives to raise awareness about the importance of peace."
116,International Day of Non-Violence,cause,2023-10-02,non_violence,International Day of Non-Violence commemorates Mahatma Gandhi's birthday and promotes non-violent approaches to conflict resolution. It's a day to reflect on the principles of peace and non-violence.
117,World Kindness Day,cause,2023-11-13,kindness_icon.png,"World Kindness Day encourages acts of kindness and compassion. It's a day to promote goodwill, empathy, and positive interactions to create a kinder and more harmonious world."
118,National Beer Can Appreciation Day,drinking,2023-01-24,beer.png,National Beer Can Appreciation Day celebrates the invention of the beer can. Beer enthusiasts often use this day to appreciate the convenience and innovation of canned beer.
119,National Hot Chocolate Day,drinking,2023-01-31,hot_chocolate.png,"National Hot Chocolate Day is a day to indulge in the cozy and comforting beverage. Many people celebrate by enjoying a warm cup of hot chocolate, often topped with whipped cream or marshmallows."
120,National Drink Wine Day,drinking,2023-02-18,drink_wine.png,National Drink Wine Day celebrates the enjoyment of wine. Wine enthusiasts often take this day to savor different varieties of wine and share their appreciation for this classic beverage.
121,National Margarita Day,drinking,2023-02-22,margarita.png,"National Margarita Day is dedicated to celebrating the popular cocktail, the margarita. Many people enjoy margaritas in various flavors and styles to mark the occasion."
122,National Absinthe Day,drinking,2023-03-05,moscato.png,National Absinthe Day celebrates the iconic green spirit known as absinthe. It's a day for enthusiasts to explore the history and flavors of absinthe through tastings and gatherings.
123,National Beer Day,drinking,2023-04-07,beer.png,National Beer Day commemorates the repeal of Prohibition in the United States. Beer lovers often celebrate by enjoying their favorite brews and exploring new beer varieties.
124,National Moscato Day,drinking,2023-05-09,moscato.png,National Moscato Day is a day to celebrate and enjoy the sweet and aromatic wine known as Moscato. Wine enthusiasts often indulge in this popular variety on this day.
125,National Mimosa Day,drinking,2023-05-16,mimosa.png,"National Mimosa Day celebrates the classic cocktail made with champagne and citrus juice. Many people enjoy mimosas, particularly during brunch, to mark the occasion."
126,National Wine Day,drinking,2023-05-25,drink_wine.png,National Wine Day is a day to celebrate the diverse world of wine. Wine enthusiasts often explore different varieties and share their love for wine with friends and family.
127,National Mint Julep Day,drinking,2023-05-30,mint_julip.png,"National Mint Julep Day honors the classic Southern cocktail made with mint, sugar, ice, and bourbon. It's a day for cocktail enthusiasts to enjoy the refreshing flavors of the mint julep."
128,National Moonshine Day,drinking,2023-06-05,mint_julip.png,"National Moonshine Day celebrates the tradition of making and enjoying moonshine, a distilled spirit. Enthusiasts often share stories, recipes, and tastings to mark the day."
129,National Iced Tea Day,drinking,2023-06-10,iced_tea.png,"National Iced Tea Day celebrates the refreshing beverage of iced tea. Many people enjoy iced tea in various flavors and styles, especially during the warmer months."
130,National Bourbon Day,drinking,2023-06-14,bourbon.png,National Bourbon Day is dedicated to celebrating the American whiskey known as bourbon. Bourbon enthusiasts often raise a glass to honor this distinctive and flavorful spirit.
131,National Martini Day,drinking,2023-06-19,martini.png,"National Martini Day celebrates the iconic cocktail, the martini. Martini lovers often enjoy this classic drink, which typically consists of gin and vermouth, often garnished with an olive or twist."
132,National Pina Colada Day,drinking,2023-07-10,pina_colada.png,"National Pina Colada Day honors the tropical cocktail made with rum, coconut cream, and pineapple juice. It's a day to enjoy the refreshing flavors of the Pina Colada."
133,National Daiquiri Day,drinking,2023-07-19,daquiri.png,"National Daiquiri Day celebrates the classic cocktail, the daiquiri. Many people enjoy daiquiris, which typically consist of rum, lime juice, and simple syrup, often blended with ice."
134,National Tequila Day,drinking,2023-07-24,tequila.png,"National Tequila Day is dedicated to celebrating the popular distilled spirit, tequila. Tequila enthusiasts often enjoy the spirit in various cocktails and tastings on this day."
135,National Scotch Day,drinking,2023-07-27,scotch.png,National Scotch Day honors the rich and complex spirit known as Scotch whisky. Scotch enthusiasts often savor the distinctive flavors of Scotch whisky on this day.
136,International Beer Day,drinking,2023-08-04,beer.png,"International Beer Day is a global celebration of beer and brewing culture. Beer lovers often participate in beer tastings, brewery visits, and social gatherings to mark the occasion."
137,National Rum Day,drinking,2023-08-16,rum.png,"National Rum Day celebrates the versatile and flavorful spirit known as rum. Rum enthusiasts often enjoy the spirit in cocktails, tastings, and festive gatherings on this day."
138,National Red Wine Day,drinking,2023-08-28,drink_wine.png,National Red Wine Day is a day to celebrate and savor the rich and robust flavors of red wine. Wine enthusiasts often indulge in their favorite red wine varieties on this day.
139,National Beer Lover's Day,drinking,2023-09-07,beer.png,National Beer Lover's Day is a day for beer enthusiasts to celebrate their love for beer. Many people enjoy their favorite brews and explore new beer varieties on this day.
140,National Drink Beer Day,drinking,2023-09-28,beer.png,National Drink Beer Day encourages people to enjoy and appreciate the world's most popular alcoholic beverage. Beer enthusiasts often celebrate by trying different beers and sharing their favorites.
141,National Coffee Day,drinking,2023-09-29,coffee.png,National Coffee Day is a day to celebrate and enjoy the beloved beverage of coffee. Coffee lovers often indulge in their favorite coffee drinks and explore new coffee varieties on this day.
142,International Coffee Day,drinking,2023-10-01,coffee.png,"International Coffee Day is a global celebration of coffee and its cultural significance. Coffee enthusiasts often participate in events, tastings, and activities to honor the beloved beverage."
143,National Vodka Day,drinking,2023-10-04,vodka.png,National Vodka Day is dedicated to celebrating the clear and versatile distilled spirit known as vodka. Vodka enthusiasts often enjoy the spirit in cocktails and tastings on this day.
144,National American Beer Day,drinking,2023-10-27,beer.png,National American Beer Day celebrates the diverse and vibrant beer culture in the United States. Beer enthusiasts often raise a glass to honor American breweries and beer traditions.
145,National Lager Day,drinking,2023-12-10,beer.png,National Lager Day is a day to celebrate the popular and refreshing beer style known as lager. Lager enthusiasts often enjoy the crisp and clean flavors of lager beers on this day.
146,Sangria Day,drinking,2023-12-20,beer.png,Sangria Day celebrates the festive and fruity wine punch known as sangria. It's a day to enjoy the vibrant flavors of sangria and share this popular beverage with friends and family.
147,Earth Day,environmental,2023-04-22,earth_day.png,"Earth Day is a global event dedicated to environmental protection and raising awareness about environmental issues. It's a day for activities, events, and initiatives to promote sustainability and care for the planet."
148,Arbor Day,environmental,2023-04-28,tree_circle_icon.png,Arbor Day is a day to celebrate trees and promote tree planting. Communities often organize tree-planting events and educational activities to highlight the importance of trees for the environment.
149,World Migratory Bird Day,environmental,2023-05-10,bird_migration.png,World Migratory Bird Day raises awareness about migratory birds and the need for their conservation. It's a day to appreciate the beauty of migratory birds and promote efforts to protect their habitats.
150,National Endangered Species Day,environmental,2023-05-19,endangered_species.png,National Endangered Species Day raises awareness about endangered species and the need for conservation efforts. It's a day to educate the public about the importance of protecting biodiversity and preserving the habitats of endangered plants and animals.
151,International Day for Biological Diversity,environmental,2023-05-22,biological_diversity.png,International Day for Biological Diversity promotes the importance of biodiversity for sustainable development. It's a day to raise awareness about the rich variety of life on Earth and encourage actions to conserve and protect biological diversity.
152,Learn About Composting Day,environmental,2023-05-29,compost.png,Learn About Composting Day encourages learning and adopting composting practices for waste reduction and environmental sustainability. It's a day to educate individuals about the benefits of composting for soil health and reducing organic waste.
153,World Environment Day,environmental,2023-06-05,environment.png,"World Environment Day is a global event to raise awareness and take action on environmental issues. It's a day for promoting sustainability, conservation, and efforts to address challenges such as climate change and pollution."
154,National American Eagle Day,environmental,2023-06-20,american_eagle.png,National American Eagle Day celebrates the recovery and conservation efforts that have led to the removal of the bald eagle from the endangered species list. It's a day to honor the symbol of American freedom and advocate for the continued protection of eagles and their habitats.
155,International Mountain Day,environmental,2023-12-11,mountain.png,International Mountain Day raises awareness about the importance of mountains and sustainable mountain development. It's a day to highlight the role of mountains in providing resources and promoting environmental conservation.
156,St. Patrick's Day,ethnic,2023-03-17,patrick.png,"St. Patrick's Day celebrates Irish culture and the patron saint of Ireland, St. Patrick. It's a day known for parades, wearing green, and festivities that honor Irish heritage."
157,St. George's Day,ethnic,2023-04-23,george.png,"St. George's Day is the feast day of St. George, the patron saint of England. It's a day to celebrate English culture and traditions, often marked with events, parades, and the display of the St. George's Cross."
